model,quant,provider,size_gib,params,model_type,mmproj,ctx,ngl,ubatch,moe_cpu,pp1024_tps,pp1024_stddev_tps,tg128_tps,tg128_stddev_tps,reps,vctx,vngl,vubatch,vpp1024_tps,vpp1024_stddev_tps,vtg128_tps,vtg128_stddev_tps,vreps,vision,reason,switch,effort
gemma-4-E4B,Q8_0,unsloth,7.62,7.5B,Dense,945M,75k,all,512,no,4670.5,50.9,44.0,0.0,5,30k,all,512,4639.2,43.9,44.0,0.1,5,yes,yes,yes,-
gemma-4-E4B,Q8_0,bartowski,7.46,7.5B,Dense,945M,100k,all,512,no,4732.7,38.9,45.1,0.0,5,40k,all,512,4678.8,43.3,45.1,0.0,5,yes,yes,yes,-
gemma-4-E4B,UD-Q8_K_XL,unsloth,8.05,7.5B,Dense,945M,50k,all,512,no,4646.1,16.9,40.9,0.0,5,10k,all,512,4623.4,36.5,40.9,0.0,5,yes,yes,yes,-
Ministral-3-8B-Instruct-2512,Q4_K_M,unsloth,4.83,8.5B,Dense,818M,10k,all,512,no,3023.8,26.0,47.5,0.0,5,10k,all,512,3023.3,23.2,47.5,0.0,5,yes,no,-,-
Ministral-3-8B-Instruct-2512,Q4_K_M,mistralai,4.83,8.5B,Dense,818M,10k,all,512,no,3016.0,21.6,47.5,0.0,5,10k,all,512,3020.0,24.1,47.5,0.0,5,yes,no,-,-
Ministral-3-8B-Reasoning-2512,Q4_K_M,unsloth,4.83,8.5B,Dense,818M,10k,all,512,no,3016.3,17.4,47.5,0.0,5,10k,all,512,3015.1,18.7,47.5,0.0,5,yes,yes,no,-
Ministral-3-8B-Reasoning-2512,Q4_K_M,mistralai,4.83,8.5B,Dense,818M,10k,all,512,no,3012.5,22.0,47.5,0.0,5,10k,all,512,3021.0,23.0,47.5,0.0,5,yes,yes,no,-
Qwen3.5-9B,Q4_K_M,unsloth,5.28,9.0B,Dense,879M,50k,all,512,no,2639.0,16.3,43.1,0.0,5,20k,all,512,2643.8,17.0,43.1,0.0,5,yes,yes,yes,-
Qwen3.5-9B,Q4_K_M,bartowski,5.48,9.0B,Dense,879M,40k,all,512,no,2625.1,17.6,41.6,0.0,5,10k,all,512,2628.2,20.8,41.6,0.0,5,yes,yes,yes,-
Qwen3.5-9B,UD-Q4_K_XL,unsloth,5.55,9.0B,Dense,879M,40k,all,512,no,2651.7,17.3,41.2,0.0,5,10k,all,512,2650.6,14.9,41.2,0.0,5,yes,yes,yes,-
Qwen3.5-9B,Q5_K_M,unsloth,6.12,9.0B,Dense,879M,30k,all,512,no,2532.7,21.7,38.0,0.0,5,5k,32,512,2388.1,17.7,33.2,0.0,5,yes,yes,yes,-
Qwen3.5-9B,Q5_K_M,bartowski,6.38,9.0B,Dense,879M,20k,all,512,no,2596.1,12.9,36.4,0.3,5,5k,30,512,2122.1,41.4,26.1,0.0,5,yes,yes,yes,-
Qwen3.5-9B,UD-Q5_K_XL,unsloth,6.27,9.0B,Dense,879M,20k,all,512,no,2531.0,19.6,37.2,0.0,5,5k,31,512,2238.9,32.4,29.4,0.0,5,yes,yes,yes,-
Qwen3.5-9B,UD-Q6_K_XL,unsloth,8.15,9.0B,Dense,879M,5k,28,512,no,1736.3,40.3,19.6,0.0,5,10k,23,512,1341.6,18.9,15.4,0.0,5,yes,yes,yes,-
Qwen3.5-9B,Q8_0,unsloth,8.86,9.0B,Dense,879M,10k,25,512,no,1437.9,37.7,15.2,0.0,5,10k,21,512,1185.2,20.7,12.8,0.0,5,yes,yes,yes,-
Qwen3.5-9B,Q8_0,bartowski,8.88,9.0B,Dense,879M,10k,25,512,no,1460.9,21.4,15.3,0.0,5,10k,21,512,1184.7,20.3,12.8,0.0,5,yes,yes,yes,-
Qwen3.5-9B,UD-Q8_K_XL,unsloth,12.07,9.0B,Dense,879M,10k,16,512,no,903.8,3.2,9.1,0.0,5,30k,13,512,780.8,6.2,8.1,0.0,5,yes,yes,yes,-
Ministral-3-14B-Instruct-2512,Q4_K_M,unsloth,7.67,13.5B,Dense,838M,5k,33,512,no,1319.5,20.7,17.6,0.0,5,5k,29,512,1146.4,18.9,15.2,0.0,5,yes,no,-,-
Ministral-3-14B-Instruct-2512,Q4_K_M,mistralai,7.67,13.5B,Dense,838M,5k,33,512,no,1315.8,25.7,17.6,0.0,5,5k,29,512,1149.2,16.9,15.1,0.0,5,yes,no,-,-
Ministral-3-14B-Reasoning-2512,Q4_K_M,unsloth,7.67,13.5B,Dense,838M,5k,33,512,no,1318.9,23.0,17.6,0.0,5,5k,29,512,1138.3,22.9,15.1,0.0,5,yes,yes,no,-
Ministral-3-14B-Reasoning-2512,Q4_K_M,mistralai,7.67,13.5B,Dense,838M,5k,33,512,no,1316.1,25.6,17.6,0.0,5,5k,29,512,1141.5,19.5,15.1,0.0,5,yes,yes,no,-
gpt-oss-20b,MXFP4,ggml-org,11.27,20.9B,MoE,,131072,25,1024,yes(21),1432.6,31.9,37.5,0.1,5,,,,,,,,5,no,no,-,low/medium/high
gemma-4-26B-A4B,IQ4_XS,bartowski,13.21,25.2B,MoE,1139M,150k,31,1024,yes(29),977.3,12.9,36.0,0.3,20,100k,31,1024,977.5,13.2,35.7,0.4,20,yes,yes,yes,-
gemma-4-26B-A4B,UD-IQ4_XS,unsloth,12.48,25.2B,MoE,1139M,125k,31,1024,yes(29),1067.3,17.2,30.9,0.2,20,75k,31,1024,1059.6,18.2,30.8,0.1,20,yes,yes,yes,-
gemma-4-26B-A4B,UD-IQ4_NL_XL,unsloth,13.54,25.2B,MoE,1139M,125k,31,1024,yes(29),1008.5,16.8,30.3,0.1,20,75k,31,1024,996.2,13.9,30.3,0.1,20,yes,yes,yes,-
gemma-4-26B-A4B,Q4_K_S,bartowski,14.74,25.2B,MoE,1139M,150k,31,1024,yes(29),898.7,17.4,37.0,0.1,20,100k,31,1024,887.2,16.7,37.0,0.1,20,yes,yes,yes,-
gemma-4-26B-A4B,Q4_K_M,bartowski,15.85,25.2B,MoE,1139M,150k,31,1024,yes(30),833.0,9.5,35.4,0.1,20,100k,31,1024,820.6,16.4,35.0,0.0,20,yes,yes,yes,-
gemma-4-26B-A4B,Q4_K_L,bartowski,16.02,25.2B,MoE,1139M,150k,31,1024,yes(30),821.4,15.0,33.7,0.1,20,100k,31,1024,821.7,12.5,33.7,0.1,20,yes,yes,yes,-
gemma-4-26B-A4B,UD-Q4_K_S,unsloth,15.25,25.2B,MoE,1139M,125k,31,1024,yes(30),904.4,14.0,30.0,0.1,20,75k,31,1024,885.9,14.8,30.1,0.1,20,yes,yes,yes,-
gemma-4-26B-A4B,UD-Q4_K_M,unsloth,15.70,25.2B,MoE,1139M,125k,31,1024,yes(30),877.3,13.5,30.0,0.1,20,75k,31,1024,863.4,16.1,30.0,0.1,20,yes,yes,yes,-
gemma-4-26B-A4B,UD-Q4_K_XL,unsloth,15.90,25.2B,MoE,1139M,125k,31,1024,yes(30),854.3,16.5,30.1,0.1,20,75k,31,1024,855.7,13.7,30.0,0.1,20,yes,yes,yes,-
gemma-4-26B-A4B,Q5_K_S,bartowski,16.87,25.2B,MoE,1139M,150k,31,1024,yes(30),771.4,22.7,33.1,0.1,20,100k,31,1024,782.2,13.0,33.2,0.0,20,yes,yes,yes,-
gemma-4-26B-A4B,Q5_K_M,bartowski,17.98,25.2B,MoE,1139M,150k,31,1024,yes(30),742.3,11.3,31.6,0.0,20,100k,31,1024,742.4,11.8,31.7,0.0,20,yes,yes,yes,-
gemma-4-26B-A4B,Q5_K_L,bartowski,18.14,25.2B,MoE,1139M,125k,31,1024,yes(30),756.2,16.8,31.1,0.1,20,75k,31,1024,757.1,15.2,31.1,0.1,20,yes,yes,yes,-
gemma-4-26B-A4B,UD-Q5_K_S,unsloth,17.47,25.2B,MoE,1139M,125k,31,1024,yes(30),787.3,16.5,29.8,0.2,20,75k,31,1024,786.9,14.6,29.7,0.1,20,yes,yes,yes,-
gemma-4-26B-A4B,UD-Q5_K_M,unsloth,19.68,25.2B,MoE,1139M,125k,31,1024,yes(30),706.6,15.3,28.5,0.0,20,75k,31,1024,704.2,15.1,28.4,0.0,20,yes,yes,yes,-
gemma-4-26B-A4B,UD-Q5_K_XL,unsloth,19.75,25.2B,MoE,1139M,125k,31,1024,yes(30),702.6,12.2,28.3,0.0,20,75k,31,1024,702.0,15.5,28.3,0.0,20,yes,yes,yes,-
gemma-4-26B-A4B,Q6_K,bartowski,21.28,25.2B,MoE,1139M,125k,31,1024,yes(30),653.9,8.6,28.3,0.0,20,75k,31,1024,641.1,13.5,27.8,0.0,20,yes,yes,yes,-
gemma-4-26B-A4B,Q6_K_L,bartowski,21.44,25.2B,MoE,1139M,125k,31,1024,yes(30),643.5,12.8,27.3,0.0,20,75k,31,1024,643.1,10.5,27.3,0.0,20,yes,yes,yes,-
gemma-4-26B-A4B,UD-Q6_K,unsloth,21.57,25.2B,MoE,1139M,125k,31,1024,yes(30),645.0,11.3,26.8,0.0,20,50k,31,1024,657.3,12.9,27.3,0.0,20,yes,yes,yes,-
gemma-4-26B-A4B,UD-Q6_K_XL,unsloth,21.68,25.2B,MoE,1139M,125k,31,1024,yes(30),639.9,12.9,26.7,0.0,20,50k,31,1024,640.4,11.5,26.8,0.0,20,yes,yes,yes,-
gemma-4-26B-A4B,Q8_0,unsloth,25.00,25.2B,MoE,1139M,125k,31,1024,yes(30),544.4,42.6,24.5,0.0,20,50k,31,1024,562.5,8.6,24.5,0.0,20,yes,yes,yes,-
gemma-4-26B-A4B,Q8_0,bartowski,25.00,25.2B,MoE,1139M,125k,31,1024,yes(30),563.2,7.7,24.5,0.0,20,50k,31,1024,562.7,8.4,24.5,0.0,20,yes,yes,yes,-
gemma-4-26B-A4B,UD-Q8_K_XL,unsloth,25.94,25.2B,MoE,1139M,100k,31,1024,yes(30),546.0,9.3,23.7,0.0,20,50k,31,1024,545.8,8.1,23.7,0.0,20,yes,yes,yes,-
Qwen3.5-27B,Q4_K_M,unsloth,15.58,26.9B,Dense,888M,10k,24,512,no,349.8,1.6,4.7,0.0,5,10k,20,512,332.7,1.2,4.5,0.0,5,yes,yes,yes,-
Qwen3.5-27B,Q4_K_M,bartowski,15.94,26.9B,Dense,888M,5k,24,512,no,345.5,2.2,4.6,0.0,5,5k,20,512,326.3,0.5,4.4,0.0,5,yes,yes,yes,-
Qwen3.6-27B,Q4_K_M,unsloth,15.65,26.9B,Dense,888M,10k,24,512,no,348.7,1.9,4.7,0.0,5,10k,20,512,330.4,1.1,4.4,0.0,5,yes,yes,yes,-
Qwen3.6-27B,Q4_K_M,Jackrong,15.40,26.9B,Dense,888M,10k,24,512,no,352.4,1.2,4.7,0.0,5,5k,21,512,338.4,1.8,4.6,0.0,5,yes,yes,yes,-
Qwen3.6-27B,Q4_K_M,AaryanK,15.40,26.9B,Dense,888M,10k,24,512,no,352.4,0.9,4.8,0.0,5,5k,21,512,338.8,1.4,4.5,0.0,5,yes,yes,yes,-
GLM-4.7-Flash,Q4_K_M,unsloth,17.05,29.9B,MoE,,75k,48,1024,yes(44),712.2,10.6,35.6,0.1,5,,,,,,,,5,no,yes,yes,-
GLM-4.7-Flash,Q4_K_M,bartowski,17.20,29.9B,MoE,,75k,48,1024,yes(44),701.3,7.6,34.5,0.1,5,,,,,,,,5,no,yes,yes,-
GLM-4.7-Flash,UD-Q4_K_XL,unsloth,16.31,29.9B,MoE,,75k,48,1024,yes(44),740.2,8.9,36.6,0.1,5,,,,,,,,5,no,yes,yes,-
GLM-4.7-Flash,Q5_K_M,unsloth,19.93,29.9B,MoE,,75k,48,1024,yes(45),615.5,7.9,31.1,0.1,5,,,,,,,,5,no,yes,yes,-
GLM-4.7-Flash,Q5_K_M,bartowski,20.08,29.9B,MoE,,75k,48,1024,yes(45),611.4,7.5,30.2,0.0,5,,,,,,,,5,no,yes,yes,-
GLM-4.7-Flash,UD-Q5_K_XL,unsloth,20.20,29.9B,MoE,,75k,48,1024,yes(45),611.0,7.5,29.5,0.0,5,,,,,,,,5,no,yes,yes,-
GLM-4.7-Flash,Q8_0,unsloth,29.65,29.9B,MoE,,75k,48,1024,yes(46),419.3,28.2,22.3,0.0,5,,,,,,,,5,no,yes,yes,-
GLM-4.7-Flash,Q8_0,bartowski,29.65,29.9B,MoE,,75k,48,1024,yes(46),433.5,3.3,22.3,0.0,5,,,,,,,,5,no,yes,yes,-
GLM-4.7-Flash,UD-Q8_K_XL,unsloth,33.17,29.9B,MoE,,50k,48,1024,yes(46),406.8,3.9,19.9,0.0,5,,,,,,,,5,no,yes,yes,-
gemma-4-31B,Q4_K_M,unsloth,17.05,30.7B,Dense,1145M,10k,19,512,no,298.4,0.3,4.0,0.0,5,5k,16,512,285.7,1.4,3.8,0.0,5,yes,yes,yes,-
gemma-4-31B,Q4_K_M,bartowski,18.24,30.7B,Dense,1145M,10k,17,512,no,280.1,1.2,3.7,0.0,5,5k,14,512,269.1,1.4,3.5,0.0,5,yes,yes,yes,-
Qwen3.6-35B-A3B,IQ4_XS,bartowski,17.50,34.7B,MoE,860M,200k,41,1024,yes(40),734.9,8.7,41.1,0.1,20,150k,41,1024,754.0,12.3,41.8,0.1,20,yes,yes,yes,-
Qwen3.6-35B-A3B,IQ4_XS,AesSedai,16.40,34.7B,MoE,585M,175k,41,1024,yes(40),800.5,9.4,36.4,0.1,20,150k,41,1024,801.6,10.4,36.3,0.1,20,yes,yes,yes,-
Qwen3.6-35B-A3B,UD-IQ4_XS,unsloth,16.50,34.7B,MoE,860M,175k,41,1024,yes(40),804.3,10.0,36.9,0.1,20,125k,41,1024,816.0,11.4,37.3,0.2,20,yes,yes,yes,-
Qwen3.6-35B-A3B,UD-IQ4_NL_XL,unsloth,18.15,34.7B,MoE,860M,175k,41,1024,yes(40),729.6,10.9,36.0,0.1,20,125k,41,1024,756.6,9.2,35.5,0.0,20,yes,yes,yes,-
Qwen3.6-35B-A3B,Q4_K_S,bartowski,19.17,34.7B,MoE,860M,175k,41,1024,yes(39),706.7,10.6,39.4,0.0,20,150k,41,1024,671.7,7.5,38.8,0.2,20,yes,yes,yes,-
Qwen3.6-35B-A3B,Q4_K_M,unsloth,20.60,34.7B,MoE,,150k,41,1024,yes(39),678.0,16.8,35.7,0.1,5,,,,,,,,5,?,?,?,?
Qwen3.6-35B-A3B,Q4_K_M,bartowski,19.91,34.7B,MoE,860M,175k,41,1024,yes(40),683.2,10.1,38.1,0.1,20,150k,41,1024,670.7,9.4,37.9,0.1,20,yes,yes,yes,-
Qwen3.6-35B-A3B,Q4_K_M,AesSedai,20.61,34.7B,MoE,585M,150k,41,1024,yes(39),695.5,9.7,34.6,0.0,20,125k,41,1024,689.8,10.4,34.6,0.0,20,yes,yes,yes,-
Qwen3.6-35B-A3B,Q4_K_L,bartowski,20.26,34.7B,MoE,860M,175k,41,1024,yes(40),676.6,7.7,37.0,0.1,20,125k,41,1024,690.4,10.1,37.4,0.1,20,yes,yes,yes,-
Qwen3.6-35B-A3B,UD-Q4_K_S,unsloth,19.45,34.7B,MoE,860M,175k,41,1024,yes(40),703.5,10.7,35.8,0.0,20,125k,41,1024,706.3,9.3,36.0,0.1,20,yes,yes,yes,-
Qwen3.6-35B-A3B,UD-Q4_K_M,unsloth,20.60,34.7B,MoE,860M,150k,41,1024,yes(39),692.6,9.3,35.2,0.0,20,125k,41,1024,680.4,9.1,35.0,0.0,20,yes,yes,yes,-
Qwen3.6-35B-A3B,UD-Q4_K_XL,unsloth,20.81,34.7B,MoE,860M,150k,41,1024,yes(40),655.3,8.4,34.2,0.1,20,125k,41,1024,673.2,10.3,34.1,0.0,20,yes,yes,yes,-
Qwen3.6-35B-A3B,Q5_K_S,bartowski,22.49,34.7B,MoE,860M,175k,41,1024,yes(40),613.0,9.0,34.6,0.1,20,150k,41,1024,609.6,9.0,34.6,0.2,20,yes,yes,yes,-
Qwen3.6-35B-A3B,Q5_K_M,bartowski,23.29,34.7B,MoE,860M,175k,41,1024,yes(40),599.1,8.1,33.5,0.2,20,125k,41,1024,607.8,8.2,33.9,0.1,20,yes,yes,yes,-
Qwen3.6-35B-A3B,Q5_K_M,AesSedai,24.44,34.7B,MoE,585M,150k,41,1024,yes(40),594.9,6.9,31.8,0.0,20,125k,41,1024,593.0,7.5,31.6,0.0,20,yes,yes,yes,-
Qwen3.6-35B-A3B,Q5_K_L,bartowski,23.58,34.7B,MoE,860M,150k,41,1024,yes(39),597.2,7.4,32.9,0.0,20,125k,41,1024,603.1,7.2,33.1,0.1,20,yes,yes,yes,-
Qwen3.6-35B-A3B,UD-Q5_K_S,unsloth,23.22,34.7B,MoE,860M,150k,41,1024,yes(40),619.5,9.3,32.4,0.0,20,125k,41,1024,609.2,9.6,32.2,0.0,20,yes,yes,yes,-
Qwen3.6-35B-A3B,UD-Q5_K_M,unsloth,24.63,34.7B,MoE,860M,150k,41,1024,yes(40),591.9,8.3,31.6,0.0,20,125k,41,1024,581.9,7.2,31.3,0.0,20,yes,yes,yes,-
Qwen3.6-35B-A3B,UD-Q5_K_XL,unsloth,24.76,34.7B,MoE,860M,150k,41,1024,yes(40),585.0,7.6,31.3,0.0,20,125k,41,1024,578.6,7.7,31.2,0.1,20,yes,yes,yes,-
Qwen3.6-35B-A3B,Q6_K,bartowski,27.98,34.7B,MoE,860M,150k,41,1024,yes(40),521.9,5.4,34.7,0.1,20,125k,41,1024,515.7,5.3,34.6,0.1,20,yes,yes,yes,-
Qwen3.6-35B-A3B,Q6_K,AesSedai,27.10,34.7B,MoE,585M,150k,41,1024,yes(40),543.7,6.4,29.5,0.1,20,125k,41,1024,544.8,6.1,29.5,0.1,20,yes,yes,yes,-
